Trade#,Date,Time_ET,League,Matchup,Away,Away_Score,Home,Home_Score,Actual_Total,Market_Total,Market_Spread,Favorite,Underdog,UD_Score,Pick_Direction,Tier,Ensemble_Score,Win_Prob,Base_Line,Scaled_OVER,Scaled_UNDER,Zone_Width,Primary_Bet,Primary_Line,Primary_Result,Hedge_Bet,Hedge_Line,Hedge_Result,Execution_Rule
1,2025-10-21,7:30 PM,NBA,GSW@LAL,GSW,119,LAL,109,228,227.5,+2.5,GSW,LAL,109,UNDER,C,+0.00,20.7,112.5,97.9,127.1,29.2,UNDER,127.1,HIT,OVER,97.9,HIT,Rule4_UnderDefault
2,2025-10-21,7:30 PM,NBA,HOU@OKC,HOU,124,OKC,125,249,226.0,+6.5,OKC,HOU,124,UNDER,A,+0.00,7.4,109.8,98.6,120.9,22.3,UNDER,120.9,MISS,OVER,98.6,HIT,Rule1_UpsetClause
3,2025-10-22,7:30 PM,NBA,BKN@CHA,BKN,117,CHA,136,253,228.0,+5.0,CHA,BKN,117,UNDER,B,+0.00,11.4,111.5,99.5,123.5,24.0,UNDER,123.5,HIT,OVER,99.5,HIT,Rule1_UpsetClause
4,2025-10-22,7:30 PM,NBA,CLE@NYK,CLE,111,NYK,119,230,229.0,+2.0,CLE,NYK,119,UNDER,C,+0.00,22.8,113.5,99.4,127.6,28.2,UNDER,127.6,HIT,OVER,99.4,HIT,Rule4_UnderDefault
5,2025-10-22,7:30 PM,NBA,DET@CHI,DET,111,CHI,115,226,236.5,-2.5,DET,CHI,115,UNDER,C,+0.00,40.1,117.0,102.4,131.6,29.2,UNDER,131.6,HIT,OVER,102.4,HIT,Rule4_UnderDefault
6,2025-10-22,7:30 PM,NBA,LAC@UTA,LAC,108,UTA,129,237,225.0,-9.5,LAC,UTA,129,UNDER,A,+0.00,49.0,107.8,93.7,121.8,28.1,UNDER,121.8,MISS,OVER,93.7,HIT,Rule4_UnderDefault
7,2025-10-22,7:30 PM,NBA,MIA@ORL,MIA,121,ORL,125,246,215.0,+8.5,ORL,MIA,121,UNDER,A,+0.00,4.0,103.2,90.2,116.3,26.2,UNDER,116.3,MISS,OVER,90.2,HIT,Rule1_UpsetClause
8,2025-10-22,7:30 PM,NBA,MIN@POR,MIN,118,POR,114,232,222.5,-4.5,MIN,POR,114,UNDER,B,+0.00,44.5,109.0,97.5,120.5,23.0,UNDER,120.5,HIT,OVER,97.5,HIT,Rule4_UnderDefault
9,2025-10-22,7:30 PM,NBA,NOP@MEM,NOP,122,MEM,128,250,236.0,+4.0,MEM,NOP,122,UNDER,B,+0.00,14.7,116.0,105.0,127.0,22.0,UNDER,127.0,HIT,OVER,105.0,HIT,Rule1_UpsetClause
10,2025-10-22,7:30 PM,NBA,PHI@BOS,PHI,117,BOS,116,233,230.5,+6.0,BOS,PHI,117,UNDER,A,+0.00,8.6,112.2,101.5,123.0,21.4,UNDER,123.0,HIT,OVER,101.5,HIT,Rule1_UpsetClause
