num,date,league,matchup,away,away_score,home,home_score,actual_total,market_total,market_spread,abs_spread,favorite,underdog,ud_score,pick,tier,ensemble,win_prob,rule,base_line,scaled_over,scaled_under,zone_width,flat,primary_result,dual_result,both_hit
1,2025-10-21,NBA,GSW@LAL,GSW,119,LAL,109,228,227.5,2.5,2.5,GSW,LAL,109,UNDER,C,0.0,20.7,Rule4:UnderDefault,112.5,97.9,127.1,29.2,12,HIT,HIT,True
2,2025-10-21,NBA,HOU@OKC,HOU,124,OKC,125,249,226.0,6.5,6.5,OKC,HOU,124,UNDER,A,0.0,7.4,Rule1:UpsetClause,109.8,98.6,120.9,22.3,5,MISS,HIT,False
3,2025-10-22,NBA,BKN@CHA,BKN,117,CHA,136,253,228.0,5.0,5.0,CHA,BKN,117,UNDER,B,0.0,11.4,Rule1:UpsetClause,111.5,99.5,123.5,24.0,7,HIT,HIT,True
4,2025-10-22,NBA,CLE@NYK,CLE,111,NYK,119,230,229.0,2.0,2.0,CLE,NYK,119,UNDER,C,0.0,22.8,Rule4:UnderDefault,113.5,99.4,127.6,28.2,12,HIT,HIT,True
5,2025-10-22,NBA,DET@CHI,DET,111,CHI,115,226,236.5,-2.5,2.5,DET,CHI,115,UNDER,C,0.0,40.1,Rule4:UnderDefault,117.0,102.4,131.6,29.2,12,HIT,HIT,True
6,2025-10-22,NBA,LAC@UTA,LAC,108,UTA,129,237,225.0,-9.5,9.5,LAC,UTA,129,UNDER,A,0.0,49.0,Rule4:UnderDefault,107.8,93.7,121.8,28.1,5,MISS,HIT,False
7,2025-10-22,NBA,MIA@ORL,MIA,121,ORL,125,246,215.0,8.5,8.5,ORL,MIA,121,UNDER,A,0.0,4.0,Rule1:UpsetClause,103.2,90.2,116.3,26.2,5,MISS,HIT,False
8,2025-10-22,NBA,MIN@POR,MIN,118,POR,114,232,222.5,-4.5,4.5,MIN,POR,114,UNDER,B,0.0,44.5,Rule4:UnderDefault,109.0,97.5,120.5,23.0,7,HIT,HIT,True
9,2025-10-22,NBA,NOP@MEM,NOP,122,MEM,128,250,236.0,4.0,4.0,MEM,NOP,122,UNDER,B,0.0,14.7,Rule1:UpsetClause,116.0,105.0,127.0,22.0,7,HIT,HIT,True
10,2025-10-22,NBA,PHI@BOS,PHI,117,BOS,116,233,230.5,6.0,6.0,BOS,PHI,117,UNDER,A,0.0,8.6,Rule1:UpsetClause,112.2,101.5,123.0,21.4,5,HIT,HIT,True
11,2025-10-22,NBA,SAS@DAL,SAS,125,DAL,92,217,224.5,-3.0,3.0,SAS,DAL,92,UNDER,C,0.0,41.4,Rule4:UnderDefault,110.8,95.6,125.9,30.3,12,HIT,MISS,False
12,2025-10-22,NBA,TOR@ATL,TOR,138,ATL,118,256,237.0,-5.5,5.5,TOR,ATL,118,UNDER,A,0.0,46.0,Rule4:UnderDefault,115.8,105.5,126.0,20.4,5,HIT,HIT,True
13,2025-10-22,NBA,WAS@MIL,WAS,120,MIL,133,253,228.5,10.0,10.0,MIL,WAS,120,UNDER,A,0.0,2.4,Rule1:UpsetClause,109.2,94.8,123.8,29.0,5,HIT,HIT,True
14,2025-10-23,NBA,DEN@GSW,DEN,131,GSW,137,268,232.5,2.0,2.0,GSW,DEN,131,UNDER,C,0.0,22.8,Rule4:UnderDefault,115.2,101.2,129.3,28.2,12,MISS,HIT,False
15,2025-10-23,NBA,OKC@IND,OKC,141,IND,135,276,231.5,7.5,7.5,OKC,IND,135,UNDER,A,0.0,5.5,Rule1:UpsetClause,112.0,99.9,124.1,24.2,5,MISS,HIT,False
16,2025-10-24,NBA,ATL@ORL,ATL,111,ORL,107,218,235.5,6.0,6.0,ORL,ATL,111,UNDER,A,0.0,8.6,Rule1:UpsetClause,114.8,104.0,125.5,21.4,5,HIT,HIT,True
17,2025-10-24,NBA,BOS@NYK,BOS,95,NYK,105,200,231.0,3.5,3.5,NYK,BOS,95,UNDER,B,0.0,16.6,Rule4:UnderDefault,113.8,103.2,124.2,21.0,7,HIT,MISS,False
18,2025-10-24,NBA,CLE@BKN,CLE,131,BKN,124,255,231.0,11.5,11.5,CLE,BKN,124,UNDER,A,0.0,1.5,Rule1:UpsetClause,109.8,93.8,125.7,31.8,5,HIT,HIT,True
19,2025-10-24,NBA,DET@HOU,DET,115,HOU,111,226,226.5,-6.5,6.5,DET,HOU,111,UNDER,A,0.0,47.1,Rule4:UnderDefault,110.0,98.8,121.2,22.3,5,HIT,HIT,True
20,2025-10-24,NBA,GSW@POR,GSW,119,POR,139,258,227.5,-2.5,2.5,GSW,POR,139,UNDER,C,0.0,40.1,Rule4:UnderDefault,112.5,97.9,127.1,29.2,12,MISS,HIT,False
21,2025-10-24,NBA,MIA@MEM,MIA,146,MEM,114,260,233.0,-3.0,3.0,MIA,MEM,114,UNDER,C,0.0,41.4,Rule4:UnderDefault,115.0,99.8,130.2,30.3,12,HIT,HIT,True
22,2025-10-24,NBA,MIL@TOR,MIL,122,TOR,116,238,235.5,2.0,2.0,TOR,MIL,122,UNDER,C,0.0,22.8,Rule4:UnderDefault,116.8,102.7,130.8,28.2,12,HIT,HIT,True
23,2025-10-24,NBA,MIN@LAL,MIN,110,LAL,128,238,225.5,-1.5,1.5,MIN,LAL,128,UNDER,C,0.0,37.0,Rule4:UnderDefault,112.0,98.4,125.6,27.2,12,MISS,HIT,False
24,2025-10-24,NBA,SAS@NOP,SAS,120,NOP,116,236,233.5,-4.0,4.0,SAS,NOP,116,UNDER,B,0.0,43.6,Rule4:UnderDefault,114.8,103.8,125.8,22.0,7,HIT,HIT,True
25,2025-10-24,NBA,UTA@SAC,UTA,104,SAC,105,209,234.5,-6.0,6.0,UTA,SAC,105,UNDER,A,0.0,46.6,Rule4:UnderDefault,114.2,103.5,125.0,21.4,5,HIT,HIT,True
26,2025-10-24,NBA,WAS@DAL,WAS,117,DAL,107,224,228.5,-9.5,9.5,WAS,DAL,107,UNDER,A,0.0,49.0,Rule4:UnderDefault,109.5,95.5,123.5,28.1,5,HIT,HIT,True
27,2025-10-25,NBA,CHA@PHI,CHA,121,PHI,125,246,236.0,5.0,5.0,PHI,CHA,121,UNDER,B,0.0,11.4,Rule1:UpsetClause,115.5,103.5,127.5,24.0,7,HIT,HIT,True
28,2025-10-25,NBA,CHI@ORL,CHI,110,ORL,98,208,232.5,6.0,6.0,ORL,CHI,110,UNDER,A,0.0,8.6,Rule1:UpsetClause,113.2,102.5,124.0,21.4,5,HIT,HIT,True
