date,season,away,home,favorite,underdog,market_total,actual_total,direction,agreement,hit,profit
2020-12-23,2020-21,ATL,CHI,CHI,ATL,227.0,228,OVER,4,True,0.9
2020-12-23,2020-21,DET,MIN,MIN,DET,227.0,212,UNDER,2,True,0.9
2020-12-26,2020-21,ATL,MEM,MEM,ATL,237.5,234,UNDER,4,True,0.9
2020-12-26,2020-21,MIN,UTA,UTA,MIN,225.5,227,OVER,2,True,0.9
2020-12-29,2020-21,ORL,OKC,OKC,ORL,219.5,225,OVER,4,True,0.9
2021-01-01,2020-21,LAC,UTA,UTA,LAC,225.5,206,UNDER,2,True,0.9
2021-01-02,2020-21,OKC,ORL,ORL,OKC,218.5,207,UNDER,2,True,0.9
2021-01-04,2020-21,OKC,MIA,MIA,OKC,212.5,208,UNDER,4,True,0.9
2021-01-06,2020-21,CLE,ORL,ORL,CLE,213.0,199,UNDER,6,True,0.9
2021-01-07,2020-21,DAL,DEN,DEN,DAL,226.0,241,OVER,2,True,0.9
2021-01-08,2020-21,WAS,BOS,BOS,WAS,234.5,223,UNDER,2,True,0.9
2021-01-10,2020-21,TOR,GSW,GSW,TOR,230.5,211,UNDER,2,True,0.9
2021-01-11,2020-21,TOR,POR,POR,TOR,233.5,223,UNDER,2,True,0.9
2021-01-13,2020-21,BKN,NYK,NYK,BKN,219.0,225,OVER,4,True,0.9
2021-01-13,2020-21,LAL,OKC,OKC,LAL,215.0,227,OVER,2,True,0.9
2021-01-15,2020-21,ORL,BOS,BOS,ORL,215.5,221,OVER,4,True,0.9
2021-01-15,2020-21,ATL,UTA,UTA,ATL,222.5,208,UNDER,2,True,0.9
2021-01-18,2020-21,MIN,ATL,ATL,MIN,228.5,205,OVER,2,False,-1.0
2021-01-20,2020-21,ORL,MIN,MIN,ORL,219.0,193,OVER,4,False,-1.0
2021-01-21,2020-21,LAL,MIL,MIL,LAL,229.0,219,UNDER,2,True,0.9
2021-01-22,2020-21,ORL,IND,IND,ORL,217.5,238,OVER,4,True,0.9
2021-01-22,2020-21,ATL,MIN,MIN,ATL,222.0,214,UNDER,2,True,0.9
2021-01-24,2020-21,WAS,SAS,SAS,WAS,231.5,222,UNDER,2,True,0.9
2021-01-25,2020-21,MIN,GSW,GSW,MIN,225.0,238,OVER,2,True,0.9
2021-01-27,2020-21,BOS,SAS,SAS,BOS,225.0,216,UNDER,2,True,0.9
2021-01-27,2020-21,MIN,GSW,GSW,MIN,227.5,234,OVER,2,True,0.9
2021-01-29,2020-21,PHI,MIN,MIN,PHI,225.5,212,UNDER,2,True,0.9
2021-01-30,2020-21,SAC,MIA,MIA,SAC,224.5,209,UNDER,4,True,0.9
2021-01-30,2020-21,MEM,SAS,SAS,MEM,222.5,241,OVER,2,True,0.9
2021-02-01,2020-21,MEM,SAS,SAS,MEM,221.5,235,OVER,2,True,0.9
2021-02-04,2020-21,DEN,LAL,LAL,DEN,219.5,207,UNDER,6,True,0.9
2021-02-05,2020-21,DET,PHX,PHX,DET,216.0,201,UNDER,4,True,0.9
2021-02-11,2020-21,PHI,POR,POR,PHI,229.0,232,OVER,4,True,0.9
2021-02-11,2020-21,TOR,BOS,BOS,TOR,222.5,226,OVER,4,True,0.9
2021-02-12,2020-21,DET,BOS,BOS,DET,219.5,210,UNDER,2,True,0.9
2021-02-13,2020-21,PHI,PHX,PHX,PHI,227.0,231,OVER,4,True,0.9
2021-02-13,2020-21,IND,ATL,ATL,IND,226.0,238,OVER,2,True,0.9
2021-02-14,2020-21,MIN,TOR,TOR,MIN,227.0,228,OVER,2,True,0.9
2021-02-17,2020-21,ATL,BOS,BOS,ATL,223.5,236,OVER,2,True,0.9
2021-02-19,2020-21,PHX,NOP,NOP,PHX,228.5,246,OVER,4,True,0.9
2021-02-19,2020-21,TOR,MIN,MIN,TOR,231.0,167,UNDER,2,True,0.9
2021-02-20,2020-21,MIA,LAL,LAL,MIA,214.0,190,UNDER,6,True,0.9
2021-02-21,2020-21,DEN,ATL,ATL,DEN,228.0,238,OVER,2,True,0.9
2021-02-23,2020-21,BOS,DAL,DAL,BOS,225.0,217,UNDER,2,True,0.9
2021-02-28,2020-21,ATL,MIA,MIA,ATL,222.0,208,UNDER,6,True,0.9
2021-02-28,2020-21,WAS,BOS,BOS,WAS,231.5,221,UNDER,2,True,0.9
2021-03-02,2020-21,LAC,BOS,BOS,LAC,222.5,229,OVER,4,True,0.9
2021-03-02,2020-21,NYK,SAS,SAS,NYK,216.5,212,OVER,2,False,-1.0
2021-03-03,2020-21,DET,TOR,TOR,DET,214.0,234,UNDER,4,False,-1.0
2021-03-11,2020-21,ATL,TOR,TOR,ATL,227.5,241,OVER,4,True,0.9
2021-03-11,2020-21,PHX,POR,POR,PHX,226.5,248,OVER,4,True,0.9
2021-03-12,2020-21,HOU,UTA,UTA,HOU,226.5,213,OVER,3,False,-1.0
2021-03-14,2020-21,MIA,ORL,ORL,MIA,211.5,199,UNDER,6,True,0.9
2021-03-14,2020-21,TOR,CHI,CHI,TOR,232.5,213,UNDER,2,True,0.9
2021-03-15,2020-21,LAC,DAL,DAL,LAC,228.5,208,UNDER,2,True,0.9
2021-03-17,2020-21,GSW,HOU,HOU,GSW,226.5,202,UNDER,2,True,0.9
2021-03-20,2020-21,SAS,MIL,MIL,SAS,228.0,233,OVER,2,True,0.9
2021-03-23,2020-21,DEN,ORL,ORL,DEN,218.0,209,UNDER,2,True,0.9
2021-03-24,2020-21,DAL,MIN,MIN,DAL,228.5,236,UNDER,2,False,-1.0
2021-03-24,2020-21,LAC,SAS,SAS,LAC,220.5,235,OVER,2,True,0.9
2021-03-27,2020-21,CHI,SAS,SAS,CHI,223.0,224,OVER,2,True,0.9
2021-03-27,2020-21,MEM,UTA,UTA,MEM,228.0,236,OVER,1,True,0.9
2021-03-29,2020-21,DAL,OKC,OKC,DAL,216.5,233,OVER,2,True,0.9
2021-03-30,2020-21,ATL,PHX,PHX,ATL,222.5,227,UNDER,2,False,-1.0
2021-04-01,2020-21,ATL,SAS,SAS,ATL,222.5,263,OVER,4,True,0.9
2021-04-02,2020-21,ATL,NOP,NOP,ATL,223.5,229,OVER,2,True,0.9
2021-04-04,2020-21,GSW,ATL,ATL,GSW,225.5,228,OVER,2,True,0.9
2021-04-09,2020-21,MEM,NYK,MEM,NYK,212.5,262,OVER,2,True,0.9
2021-04-09,2020-21,MIN,BOS,BOS,MIN,228.0,281,OVER,2,True,0.9
2021-04-09,2020-21,Charlotte Bobcats,MIL,MIL,Charlotte Bobcats,225.5,246,OVER,2,True,0.9
2021-04-09,2020-21,HOU,LAC,LAC,HOU,226.5,235,OVER,4,True,0.9
2021-04-12,2020-21,HOU,PHX,PHX,HOU,226.0,246,OVER,5,True,0.9
2021-04-13,2020-21,LAC,IND,IND,LAC,229.0,241,UNDER,2,False,-1.0
2021-04-13,2020-21,BOS,POR,POR,BOS,227.0,231,UNDER,2,False,-1.0
2021-04-15,2020-21,BOS,LAL,LAL,BOS,211.5,234,UNDER,8,False,-1.0
2021-04-16,2020-21,LAC,PHI,PHI,LAC,225.0,209,UNDER,2,True,0.9
2021-04-19,2020-21,HOU,MIA,MIA,HOU,217.0,204,UNDER,2,True,0.9
2021-04-19,2020-21,UTA,LAL,LAL,UTA,214.5,208,UNDER,6,True,0.9
2021-04-21,2020-21,UTA,HOU,HOU,UTA,227.5,201,UNDER,2,True,0.9
2021-04-22,2020-21,DET,SAS,SAS,DET,216.5,197,UNDER,2,True,0.9
2021-04-24,2020-21,HOU,DEN,DEN,HOU,225.0,245,OVER,2,True,0.9
2021-04-25,2020-21,PHX,BKN,BKN,PHX,229.5,247,OVER,4,True,0.9
2021-04-26,2020-21,ATL,DET,DET,ATL,220.5,186,UNDER,2,True,0.9
2021-04-27,2020-21,OKC,BOS,BOS,OKC,219.5,234,OVER,8,True,0.9
2021-04-27,2020-21,MIN,HOU,HOU,MIN,230.0,221,UNDER,2,True,0.9
2021-04-28,2020-21,ORL,CLE,CLE,ORL,210.0,213,OVER,4,True,0.9
2021-04-30,2020-21,SAS,BOS,BOS,SAS,224.5,283,OVER,4,True,0.9
2021-05-01,2020-21,WAS,DAL,DAL,WAS,231.5,249,UNDER,2,False,-1.0
2021-05-02,2020-21,TOR,LAL,LAL,TOR,217.5,235,UNDER,6,False,-1.0
2021-05-04,2020-21,TOR,LAC,LAC,TOR,221.0,205,UNDER,6,True,0.9
2021-05-05,2020-21,BOS,ORL,ORL,BOS,218.5,228,UNDER,2,False,-1.0
2021-05-05,2020-21,PHX,ATL,,,228.5,238,OVER,2,True,0.9
2021-05-07,2020-21,MIN,MIA,MIA,MIN,222.5,233,UNDER,4,False,-1.0
2021-05-08,2020-21,OKC,GSW,GSW,OKC,223.5,233,OVER,4,True,0.9
2021-05-08,2020-21,SAS,POR,POR,SAS,229.5,226,OVER,2,False,-1.0
2021-05-08,2020-21,HOU,UTA,UTA,HOU,227.0,240,OVER,2,True,0.9
2021-05-09,2020-21,PHX,LAL,LAL,PHX,214.0,233,UNDER,6,False,-1.0
2021-05-11,2020-21,MIN,DET,DET,MIN,227.5,219,OVER,2,False,-1.0
2021-05-11,2020-21,NYK,LAL,LAL,NYK,214.5,200,UNDER,6,True,0.9
2021-05-14,2020-21,LAC,HOU,HOU,LAC,227.0,237,UNDER,2,False,-1.0
2021-05-22,2020-21,POR,DEN,DEN,POR,228.0,232,OVER,2,True,0.9
2021-05-24,2020-21,POR,DEN,DEN,POR,228.5,237,OVER,2,True,0.9
2021-05-27,2020-21,PHX,LAL,LAL,PHX,210.5,204,UNDER,6,True,0.9
2021-05-27,2020-21,DEN,POR,POR,DEN,229.0,235,OVER,4,True,0.9
2021-05-28,2020-21,BKN,BOS,BOS,BKN,228.5,244,OVER,4,True,0.9
2021-05-29,2020-21,DEN,POR,POR,DEN,228.5,210,OVER,4,False,-1.0
2021-05-30,2020-21,PHX,LAL,LAL,PHX,210.5,192,UNDER,6,True,0.9
2021-05-30,2020-21,BKN,BOS,BOS,BKN,229.5,267,OVER,4,True,0.9
2021-06-01,2020-21,POR,DEN,DEN,POR,226.0,287,OVER,2,True,0.9
2021-06-02,2020-21,WAS,PHI,PHI,WAS,230.5,241,UNDER,2,False,-1.0
2021-06-03,2020-21,DEN,POR,POR,DEN,228.5,241,OVER,4,True,0.9
2021-06-06,2020-21,ATL,PHI,PHI,ATL,220.5,252,OVER,4,True,0.9
2021-06-16,2020-21,ATL,PHI,PHI,ATL,224.5,215,UNDER,2,True,0.9
