date,season,away,home,market_total,actual_total,direction,agreement,hit,profit
2020-12-23,2020-21,ATL,CHI,227.0,228,OVER,6,True,0.9
2020-12-26,2020-21,ATL,MEM,237.5,234,UNDER,4,True,0.9
2020-12-26,2020-21,TOR,SAS,225.5,233,UNDER,2,False,-1.0
2020-12-26,2020-21,MIN,UTA,225.5,227,OVER,4,True,0.9
2020-12-27,2020-21,PHX,SAC,224.5,216,UNDER,2,True,0.9
2020-12-29,2020-21,ORL,OKC,219.5,225,OVER,4,True,0.9
2020-12-29,2020-21,DEN,SAC,223.5,240,UNDER,2,False,-1.0
2020-12-30,2020-21,MIL,MIA,227.5,227,UNDER,2,True,0.9
2020-12-31,2020-21,SAC,HOU,227.0,241,UNDER,2,False,-1.0
2020-12-31,2020-21,NOP,OKC,214.5,193,UNDER,4,True,0.9
2021-01-01,2020-21,MIA,DAL,222.5,176,UNDER,2,True,0.9
2021-01-01,2020-21,PHX,DEN,225.0,209,UNDER,2,True,0.9
2021-01-01,2020-21,LAC,UTA,225.5,206,UNDER,6,True,0.9
2021-01-02,2020-21,SAC,HOU,233.0,196,UNDER,4,True,0.9
2021-01-02,2020-21,OKC,ORL,218.5,207,UNDER,2,True,0.9
2021-01-04,2020-21,OKC,MIA,212.5,208,UNDER,4,True,0.9
2021-01-05,2020-21,MIN,DEN,228.0,239,OVER,7,True,0.9
2021-01-06,2020-21,WAS,PHI,231.0,277,OVER,4,True,0.9
2021-01-06,2020-21,CLE,ORL,213.0,199,UNDER,6,True,0.9
2021-01-06,2020-21,BOS,MIA,218.0,212,OVER,4,False,-1.0
2021-01-06,2020-21,DET,MIL,227.0,245,OVER,1,True,0.9
2021-01-07,2020-21,DAL,DEN,226.0,241,OVER,2,True,0.9
2021-01-08,2020-21,WAS,BOS,234.5,223,UNDER,8,True,0.9
2021-01-08,2020-21,ORL,HOU,229.0,222,UNDER,2,True,0.9
2021-01-10,2020-21,LAL,HOU,226.5,222,UNDER,2,True,0.9
2021-01-10,2020-21,TOR,GSW,230.5,211,UNDER,2,True,0.9
2021-01-11,2020-21,PHI,ATL,223.5,206,OVER,2,False,-1.0
2021-01-11,2020-21,TOR,POR,233.5,223,UNDER,4,True,0.9
2021-01-11,2020-21,IND,SAC,233.0,249,OVER,4,True,0.9
2021-01-13,2020-21,BKN,NYK,219.0,225,OVER,4,True,0.9
2021-01-13,2020-21,LAL,OKC,215.0,227,OVER,4,True,0.9
2021-01-15,2020-21,ORL,BOS,215.5,221,OVER,4,True,0.9
2021-01-15,2020-21,ATL,UTA,222.5,208,UNDER,8,True,0.9
2021-01-16,2020-21,DET,MIA,218.0,220,OVER,4,True,0.9
2021-01-18,2020-21,MIN,ATL,228.5,205,OVER,4,False,-1.0
2021-01-20,2020-21,DET,ATL,221.0,238,OVER,2,True,0.9
2021-01-20,2020-21,MIA,TOR,219.5,213,UNDER,2,True,0.9
2021-01-20,2020-21,ORL,MIN,219.0,193,OVER,4,False,-1.0
2021-01-21,2020-21,LAL,MIL,229.0,219,UNDER,2,True,0.9
2021-01-22,2020-21,ORL,IND,217.5,238,OVER,4,True,0.9
2021-01-22,2020-21,MIA,TOR,220.5,182,UNDER,2,True,0.9
2021-01-22,2020-21,BKN,CLE,228.0,238,UNDER,2,False,-1.0
2021-01-22,2020-21,ATL,MIN,222.0,214,UNDER,8,True,0.9
2021-01-22,2020-21,NYK,SAC,218.0,197,OVER,2,False,-1.0
2021-01-24,2020-21,WAS,SAS,231.5,222,UNDER,8,True,0.9
2021-01-25,2020-21,MIN,GSW,225.0,238,OVER,4,True,0.9
2021-01-26,2020-21,WAS,HOU,231.0,195,UNDER,4,True,0.9
2021-01-27,2020-21,DET,CLE,215.5,229,OVER,4,True,0.9
2021-01-27,2020-21,SAC,ORL,221.5,228,OVER,4,True,0.9
2021-01-27,2020-21,BOS,SAS,225.0,216,UNDER,4,True,0.9
2021-01-27,2020-21,DAL,UTA,225.0,220,OVER,4,False,-1.0
2021-01-27,2020-21,MIN,GSW,227.5,234,OVER,4,True,0.9
2021-01-28,2020-21,LAC,MIA,215.5,214,OVER,2,False,-1.0
2021-01-30,2020-21,SAC,MIA,224.5,209,UNDER,4,True,0.9
2021-01-30,2020-21,DET,GSW,224.5,209,OVER,2,False,-1.0
2021-01-30,2020-21,MEM,SAS,222.5,241,OVER,2,True,0.9
2021-02-01,2020-21,Charlotte Bobcats,MIA,218.0,250,OVER,4,True,0.9
2021-02-01,2020-21,SAC,NOP,232.0,227,UNDER,4,True,0.9
2021-02-01,2020-21,MEM,SAS,221.5,235,OVER,4,True,0.9
2021-02-02,2020-21,LAC,BKN,243.5,244,UNDER,1,False,-1.0
2021-02-02,2020-21,POR,WAS,240.5,253,UNDER,1,False,-1.0
2021-02-03,2020-21,PHI,Charlotte Bobcats,221.5,229,OVER,2,True,0.9
2021-02-03,2020-21,BOS,SAC,226.5,227,OVER,4,True,0.9
2021-02-04,2020-21,GSW,DAL,224.5,263,UNDER,4,False,-1.0
2021-02-04,2020-21,UTA,ATL,224.0,203,OVER,2,False,-1.0
2021-02-04,2020-21,DEN,LAL,219.5,207,UNDER,8,True,0.9
2021-02-05,2020-21,MIL,CLE,230.0,228,UNDER,4,True,0.9
2021-02-05,2020-21,MIN,OKC,219.5,209,OVER,6,False,-1.0
2021-02-05,2020-21,DET,PHX,216.0,201,UNDER,4,True,0.9
2021-02-06,2020-21,POR,NYK,218.5,209,UNDER,2,True,0.9
2021-02-06,2020-21,MIN,OKC,218.5,238,OVER,4,True,0.9
2021-02-07,2020-21,UTA,IND,225.0,198,OVER,2,False,-1.0
2021-02-07,2020-21,SAC,LAC,228.5,223,UNDER,4,True,0.9
2021-02-09,2020-21,PHI,SAC,229.5,230,OVER,4,True,0.9
2021-02-10,2020-21,IND,BKN,234.5,198,OVER,2,False,-1.0
2021-02-11,2020-21,PHI,POR,229.0,232,OVER,4,True,0.9
2021-02-11,2020-21,TOR,BOS,222.5,226,OVER,4,True,0.9
2021-02-12,2020-21,SAS,ATL,228.5,239,OVER,2,True,0.9
2021-02-12,2020-21,NOP,DAL,233.0,273,UNDER,4,False,-1.0
2021-02-12,2020-21,MIL,UTA,232.0,244,OVER,4,True,0.9
2021-02-12,2020-21,DET,BOS,219.5,210,UNDER,2,True,0.9
2021-02-13,2020-21,PHI,PHX,227.0,231,OVER,4,True,0.9
2021-02-13,2020-21,IND,ATL,226.0,238,OVER,2,True,0.9
2021-02-14,2020-21,MIN,TOR,227.0,228,OVER,4,True,0.9
2021-02-14,2020-21,MEM,SAC,229.5,234,OVER,4,True,0.9
2021-02-15,2020-21,PHI,UTA,227.5,257,OVER,4,True,0.9
2021-02-16,2020-21,POR,OKC,225.5,219,OVER,4,False,-1.0
2021-02-17,2020-21,ATL,BOS,223.5,236,OVER,2,True,0.9
2021-02-17,2020-21,MIA,GSW,223.5,232,UNDER,2,False,-1.0
2021-02-17,2020-21,UTA,LAC,227.5,210,OVER,2,False,-1.0
2021-02-17,2020-21,OKC,MEM,223.5,235,OVER,2,True,0.9
2021-02-18,2020-21,MIA,SAC,224.0,228,UNDER,2,False,-1.0
2021-02-19,2020-21,ATL,BOS,225.5,230,OVER,2,True,0.9
2021-02-19,2020-21,DET,MEM,221.0,204,OVER,4,False,-1.0
2021-02-19,2020-21,PHX,NOP,228.5,246,OVER,4,True,0.9
2021-02-19,2020-21,TOR,MIN,231.0,167,UNDER,2,True,0.9
2021-02-19,2020-21,UTA,LAC,225.0,228,OVER,2,True,0.9
2021-02-20,2020-21,MIA,LAL,214.0,190,UNDER,8,True,0.9
2021-02-21,2020-21,DET,ORL,210.0,201,OVER,4,False,-1.0
2021-02-21,2020-21,DEN,ATL,228.0,238,OVER,4,True,0.9
2021-02-22,2020-21,CHI,HOU,227.0,220,OVER,4,False,-1.0
2021-02-22,2020-21,MIA,OKC,213.5,202,UNDER,2,True,0.9
2021-02-22,2020-21,POR,PHX,227.5,232,OVER,4,True,0.9
2021-02-23,2020-21,BOS,DAL,225.0,217,UNDER,4,True,0.9
2021-02-25,2020-21,SAC,NYK,223.0,261,OVER,4,True,0.9
2021-02-26,2020-21,SAC,DET,224.0,217,OVER,2,False,-1.0
2021-02-26,2020-21,LAC,MEM,226.5,218,UNDER,6,True,0.9
2021-02-28,2020-21,NYK,DET,214.5,199,UNDER,4,True,0.9
2021-02-28,2020-21,ATL,MIA,222.0,208,UNDER,12,True,0.9
2021-02-28,2020-21,WAS,BOS,231.5,221,UNDER,4,True,0.9
2021-02-28,2020-21,PHX,MIN,226.0,217,UNDER,2,True,0.9
2021-03-01,2020-21,DAL,ORL,226.0,254,OVER,4,True,0.9
2021-03-01,2020-21,IND,PHI,223.5,244,UNDER,2,False,-1.0
2021-03-01,2020-21,UTA,NOP,234.0,253,OVER,4,True,0.9
2021-03-02,2020-21,MEM,WAS,237.5,236,UNDER,1,True,0.9
2021-03-02,2020-21,LAC,BOS,222.5,229,OVER,4,True,0.9
2021-03-02,2020-21,NYK,SAS,216.5,212,OVER,4,False,-1.0
2021-03-03,2020-21,UTA,PHI,227.5,254,OVER,2,True,0.9
2021-03-03,2020-21,GSW,POR,235.0,214,UNDER,1,True,0.9
2021-03-03,2020-21,DET,TOR,214.0,234,UNDER,4,False,-1.0
2021-03-04,2020-21,OKC,SAS,218.5,209,UNDER,1,True,0.9
2021-03-10,2020-21,WAS,MEM,236.0,239,UNDER,1,False,-1.0
2021-03-11,2020-21,DET,Charlotte Bobcats,221.5,207,OVER,2,False,-1.0
2021-03-11,2020-21,ATL,TOR,227.5,241,OVER,6,True,0.9
2021-03-11,2020-21,ORL,MIA,214.5,214,OVER,2,False,-1.0
2021-03-11,2020-21,DAL,OKC,218.5,224,UNDER,1,False,-1.0
2021-03-11,2020-21,PHX,POR,226.5,248,OVER,4,True,0.9
2021-03-12,2020-21,ORL,SAS,219.5,181,UNDER,1,True,0.9
2021-03-12,2020-21,MIA,CHI,220.5,191,UNDER,2,True,0.9
2021-03-12,2020-21,HOU,UTA,226.5,213,OVER,6,False,-1.0
2021-03-13,2020-21,TOR,Charlotte Bobcats,227.5,218,UNDER,2,True,0.9
2021-03-14,2020-21,UTA,GSW,230.0,250,OVER,2,True,0.9
2021-03-14,2020-21,MIA,ORL,211.5,199,UNDER,7,True,0.9
2021-03-14,2020-21,TOR,CHI,232.5,213,UNDER,2,True,0.9
2021-03-15,2020-21,IND,DEN,226.5,227,OVER,2,True,0.9
2021-03-15,2020-21,LAC,DAL,228.5,208,UNDER,4,True,0.9
2021-03-17,2020-21,MIA,MEM,220.5,174,UNDER,2,True,0.9
2021-03-18,2020-21,NOP,POR,242.0,194,UNDER,1,True,0.9
2021-03-19,2020-21,UTA,TOR,228.0,227,UNDER,2,True,0.9
2021-03-19,2020-21,IND,MIA,215.5,247,OVER,4,True,0.9
2021-03-20,2020-21,GSW,MEM,222.5,214,OVER,2,False,-1.0
2021-03-20,2020-21,SAS,MIL,228.0,233,OVER,4,True,0.9
2021-03-21,2020-21,IND,MIA,217.0,215,OVER,4,False,-1.0
2021-03-21,2020-21,NOP,DEN,233.5,221,UNDER,8,True,0.9
2021-03-21,2020-21,CHI,DET,218.5,186,UNDER,4,True,0.9
2021-03-22,2020-21,SAC,CLE,225.0,224,OVER,4,False,-1.0
2021-03-22,2020-21,TOR,HOU,223.5,216,UNDER,2,True,0.9
2021-03-23,2020-21,DEN,ORL,218.0,209,UNDER,2,True,0.9
2021-03-23,2020-21,WAS,NYK,225.0,244,OVER,4,True,0.9
2021-03-24,2020-21,DAL,MIN,228.5,236,UNDER,4,False,-1.0
2021-03-24,2020-21,CLE,CHI,219.5,197,UNDER,1,True,0.9
2021-03-24,2020-21,LAC,SAS,220.5,235,OVER,4,True,0.9
2021-03-25,2020-21,POR,MIA,219.0,247,OVER,4,True,0.9
2021-03-26,2020-21,BKN,DET,223.5,224,OVER,4,True,0.9
2021-03-26,2020-21,IND,DAL,226.5,203,OVER,2,False,-1.0
2021-03-27,2020-21,NYK,MIL,223.5,198,UNDER,2,True,0.9
2021-03-27,2020-21,CHI,SAS,223.0,224,OVER,4,True,0.9
2021-03-27,2020-21,MEM,UTA,228.0,236,OVER,2,True,0.9
2021-03-29,2020-21,IND,WAS,236.5,256,UNDER,1,False,-1.0
2021-03-29,2020-21,NOP,BOS,230.5,224,UNDER,8,True,0.9
2021-03-29,2020-21,DAL,OKC,216.5,233,OVER,8,True,0.9
2021-03-29,2020-21,MIL,LAC,229.5,234,UNDER,4,False,-1.0
2021-03-30,2020-21,PHI,DEN,222.0,199,OVER,6,False,-1.0
2021-03-30,2020-21,ATL,PHX,222.5,227,UNDER,8,False,-1.0
2021-03-31,2020-21,TOR,OKC,224.0,216,UNDER,2,True,0.9
2021-03-31,2020-21,SAC,SAS,232.0,226,UNDER,4,True,0.9
2021-04-01,2020-21,ORL,NOP,224.5,225,OVER,1,True,0.9
2021-04-01,2020-21,ATL,SAS,222.5,263,OVER,4,True,0.9
2021-04-01,2020-21,DEN,LAC,226.5,195,UNDER,4,True,0.9
2021-04-02,2020-21,HOU,BOS,223.5,220,UNDER,4,True,0.9
2021-04-02,2020-21,DAL,NYK,214.5,185,UNDER,1,True,0.9
2021-04-02,2020-21,ATL,NOP,223.5,229,OVER,2,True,0.9
2021-04-02,2020-21,LAL,SAC,222.0,209,UNDER,2,True,0.9
2021-04-04,2020-21,BKN,CHI,225.5,222,UNDER,2,True,0.9
2021-04-04,2020-21,Charlotte Bobcats,BOS,220.0,202,UNDER,4,True,0.9
2021-04-04,2020-21,GSW,ATL,225.5,228,OVER,4,True,0.9
2021-04-05,2020-21,DET,OKC,211.0,240,OVER,4,True,0.9
2021-04-05,2020-21,NYK,BKN,217.0,226,UNDER,1,False,-1.0
2021-04-05,2020-21,UTA,DAL,226.5,214,UNDER,2,True,0.9
2021-04-06,2020-21,MEM,MIA,217.5,236,OVER,4,True,0.9
2021-04-06,2020-21,POR,LAC,226.5,249,OVER,4,True,0.9
2021-04-07,2020-21,Charlotte Bobcats,OKC,214.5,215,UNDER,1,False,-1.0
2021-04-07,2020-21,MEM,ATL,229.5,244,OVER,2,True,0.9
2021-04-07,2020-21,UTA,PHX,225.0,230,OVER,2,True,0.9
2021-04-09,2020-21,MEM,NYK,212.5,262,OVER,4,True,0.9
2021-04-09,2020-21,MIN,BOS,228.0,281,OVER,4,True,0.9
2021-04-09,2020-21,Charlotte Bobcats,MIL,225.5,246,OVER,2,True,0.9
2021-04-09,2020-21,HOU,LAC,226.5,235,OVER,8,True,0.9
