date,season,away,home,market_total,actual_total,direction,n_cores,combined_mean_residual,combined_std,edge,prob,confidence,kelly_fraction,hit,profit,kelly_profit
2020-12-22,2020-21,LAC,LAL,223.0,225,UNDER,1,-10.5,15.72,-0.668,0.2431,0.5137,0,False,-1.0,0
2020-12-25,2020-21,NOP,MIA,229.0,209,UNDER,1,-5.71,12.24,-0.467,0.3115,0.377,0,True,0.9,0.0
2020-12-25,2020-21,GSW,MIL,233.5,237,OVER,1,8.43,15.21,0.554,0.7195,0.4391,0.05,True,0.9,4.5
2020-12-26,2020-21,TOR,SAS,225.5,233,UNDER,1,-6.96,13.46,-0.517,0.2934,0.4133,0,False,-1.0,0
2020-12-28,2020-21,UTA,OKC,221.0,219,OVER,1,4.84,10.51,0.461,0.6863,0.3726,0.05,False,-1.0,-5.0
2020-12-29,2020-21,DEN,SAC,223.5,240,OVER,1,7.03,16.83,0.418,0.6704,0.3408,0.05,True,0.9,4.5
2020-12-31,2020-21,PHI,ORL,217.0,208,UNDER,1,-7.5,14.25,-0.526,0.2901,0.4197,0,True,0.9,0.0
2021-01-01,2020-21,LAC,UTA,225.5,206,UNDER,1,-10.42,15.49,-0.673,0.2417,0.5167,0,True,0.9,0.0
2021-01-02,2020-21,OKC,ORL,218.5,207,UNDER,1,-7.44,17.86,-0.417,0.33,0.34,0,True,0.9,0.0
2021-01-04,2020-21,OKC,MIA,212.5,208,UNDER,1,-4.47,14.9,-0.3,0.3752,0.2496,0,True,0.9,0.0
2021-01-05,2020-21,MIN,DEN,228.0,239,OVER,1,11.83,13.68,0.865,0.8131,0.6261,0.05,True,0.9,4.5
2021-01-06,2020-21,WAS,PHI,231.0,277,OVER,1,8.87,16.03,0.553,0.7192,0.4385,0.05,True,0.9,4.5
2021-01-06,2020-21,CLE,ORL,213.0,199,UNDER,1,-7.44,17.86,-0.417,0.33,0.34,0,True,0.9,0.0
2021-01-06,2020-21,BOS,MIA,218.0,212,UNDER,2,-0.75,10.63,-0.071,0.47,0.06,0,True,0.9,0.0
2021-01-08,2020-21,TOR,SAC,226.5,267,OVER,1,5.83,16.72,0.349,0.644,0.288,0.05,True,0.9,4.5
2021-01-09,2020-21,DEN,PHI,222.0,218,OVER,1,7.03,16.83,0.418,0.6704,0.3408,0.05,False,-1.0,-5.0
