matchup,status,rule_triggered,category,model_total,model_spread,independent_total,independent_spread,base_line,underdog_scaled_line,underdog,underdog_score,is_hit,details,proj_pace,score_away,score_home,win_prob,timestamp
ATL vs LV,HIT,Rule 3 — Over Execution,OVER,176.0,14.0,176.22,14.06,81.0,74.7,ATL,85,True,Underdog ATL OVER 74.70 | Actual: 85 | ✓ CLEARS,81.8,81.08,95.14,0.6,2026-08-02T12:07:45.297705
GS vs POR,MISS,Rule 4 — Under Execution,UNDER,171.0,10.0,170.98,-10.11,80.5,84.5,POR,88,False,Underdog POR UNDER 84.50 | Actual: 88 | ✗ EXCEEDS,81.60000000000001,90.54,80.44,2.3,2026-08-02T12:07:45.297720
IND vs LA,MISS,Rule 3 — Over Execution,OVER,171.5,7.5,171.71,-7.45,82.0,78.62,LA,78,False,Underdog LA OVER 78.62 | Actual: 78 | ✗ FAILS,81.8,89.58,82.13,5.5,2026-08-02T12:07:45.297732
LA vs CON,MISS,Rule 3 — Over Execution,OVER,158.0,9.5,158.23,9.59,74.25,69.97,LA,66,False,Underdog LA OVER 69.97 | Actual: 66 | ✗ FAILS,78.99999999999999,74.32,83.91,2.8,2026-08-02T12:07:45.297741
LA vs MIN,HIT,Rule 4 — Under Execution,UNDER,165.0,17.0,164.99,17.02,74.0,80.8,LA,72,True,Underdog LA UNDER 80.80 | Actual: 72 | ✓ STAYS BELOW,79.7,73.98,91.0,0.2,2026-08-02T12:07:45.297754
LA vs NY,HIT,Rule 3 — Over Execution,OVER,170.5,18.5,170.51,18.28,76.0,67.67,LA,81,True,Underdog LA OVER 67.67 | Actual: 81 | ✓ CLEARS,81.40000000000002,76.11,94.39,0.1,2026-08-02T12:07:45.297764
MIN vs LA,HIT,Rule 4 — Under Execution,UNDER,165.0,12.0,164.99,-12.02,76.5,81.3,LA,63,True,Underdog LA UNDER 81.30 | Actual: 63 | ✓ STAYS BELOW,79.7,88.5,76.48,1.2,2026-08-02T12:07:45.297773
MIN vs NY,SYSTEM SKIP,Rule 1 — Upset Clause,,167.5,3.5,,,,,MIN,77,,Underdog Win Prob (17.5%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.297779
PHX vs ATL,MISS,Rule 3 — Over Execution,OVER,172.0,0.5,172.17,-0.38,85.75,85.53,ATL,85,False,Underdog ATL OVER 85.53 | Actual: 85 | ✗ FAILS,81.99999999999999,86.28,85.89,29.8,2026-08-02T12:07:45.297791
SEA vs CHI,HIT,Rule 4 — Under Execution,UNDER,166.0,4.5,165.91,-4.57,80.75,82.55,CHI,82,True,Underdog CHI UNDER 82.55 | Actual: 82 | ✓ STAYS BELOW,79.10000000000001,85.24,80.67,12.7,2026-08-02T12:07:45.297802
TOR vs DAL,SYSTEM SKIP,Rule 1 — Upset Clause,,170.5,0.0,,,,,DAL,85,,Underdog Win Prob (30.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.297808
CON vs WSH,HIT,Rule 3 — Over Execution,OVER,157.0,2.5,157.25,-2.34,77.25,76.12,WSH,83,True,Underdog WSH OVER 76.12 | Actual: 83 | ✓ CLEARS,78.39999999999999,79.79,77.45,21.4,2026-08-02T12:07:45.297817
GS vs CON,SYSTEM SKIP,Rule 1 — Upset Clause,,157.5,0.5,,,,,GS,77,,Underdog Win Prob (29.8%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.297824
GS vs LA,HIT,Rule 3 — Over Execution,OVER,166.0,7.0,166.24,-7.17,79.5,76.35,LA,83,True,Underdog LA OVER 76.35 | Actual: 83 | ✓ CLEARS,79.99999999999999,86.7,79.53,6.0,2026-08-02T12:07:45.297835
GS vs TOR,HIT,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,TOR,85,True,Underdog TOR OVER 77.75 | Actual: 85 | ✓ CLEARS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.297844
IND vs MIN,HIT,Rule 3 — Over Execution,OVER,169.0,7.5,169.1,7.62,80.75,77.38,IND,85,True,Underdog IND OVER 77.38 | Actual: 85 | ✓ CLEARS,80.3,80.74,88.36,5.3,2026-08-02T12:07:45.297854
LV vs DAL,HIT,Rule 4 — Under Execution,UNDER,180.0,13.0,179.78,-13.15,83.5,88.7,DAL,88,True,Underdog DAL UNDER 88.70 | Actual: 88 | ✓ STAYS BELOW,83.49999999999999,96.47,83.31,0.8,2026-08-02T12:07:45.297863
PHX vs LV,HIT,Rule 4 — Under Execution,UNDER,179.0,11.5,178.94,11.25,83.75,88.35,PHX,82,True,Underdog PHX UNDER 88.35 | Actual: 82 | ✓ STAYS BELOW,83.19999999999997,83.84,95.09,1.6,2026-08-02T12:07:45.297873
POR vs NY,HIT,Rule 4 — Under Execution,UNDER,175.5,21.5,175.41,21.45,77.0,85.6,POR,77,True,Underdog POR UNDER 85.60 | Actual: 77 | ✓ STAYS BELOW,82.99999999999999,76.98,98.43,0.0,2026-08-02T12:07:45.297887
PHX vs CHI,MISS,Rule 3 — Over Execution,OVER,170.5,1.0,170.69,-1.1,84.75,84.3,CHI,78,False,Underdog CHI OVER 84.30 | Actual: 78 | ✗ FAILS,81.39999999999999,85.89,84.8,26.8,2026-08-02T12:07:45.297896
PHX vs TOR,SYSTEM SKIP,Rule 1 — Upset Clause,,170.0,1.5,,,,,TOR,95,,Underdog Win Prob (25.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.297903
POR vs LV,HIT,Rule 3 — Over Execution,OVER,180.0,20.5,180.08,20.68,79.75,70.53,POR,81,True,Underdog POR OVER 70.53 | Actual: 81 | ✓ CLEARS,83.69999999999997,79.7,100.38,0.1,2026-08-02T12:07:45.297912
CHI vs NY,HIT,Rule 3 — Over Execution,OVER,170.0,15.5,170.11,15.61,77.25,70.28,CHI,76,True,Underdog CHI OVER 70.28 | Actual: 76 | ✓ CLEARS,80.49999999999999,77.25,92.86,0.4,2026-08-02T12:07:45.297922
CON vs LA,MISS,Rule 3 — Over Execution,OVER,158.0,4.5,158.23,-4.59,76.75,74.72,LA,68,False,Underdog LA OVER 74.72 | Actual: 68 | ✗ FAILS,78.99999999999999,81.41,76.82,12.7,2026-08-02T12:07:45.297932
CON vs MIN,HIT,Rule 4 — Under Execution,UNDER,156.0,9.5,155.91,9.26,73.25,77.05,CON,74,True,Underdog CON UNDER 77.05 | Actual: 74 | ✓ STAYS BELOW,77.49999999999999,73.33,82.58,3.1,2026-08-02T12:07:45.297942
DAL vs CON,HIT,Rule 3 — Over Execution,OVER,162.5,10.0,162.55,10.04,76.25,71.75,DAL,73,True,Underdog DAL OVER 71.75 | Actual: 73 | ✓ CLEARS,80.39999999999999,76.25,86.3,2.4,2026-08-02T12:07:45.297951
IND vs CHI,HIT,Rule 4 — Under Execution,UNDER,171.5,5.0,171.42,-4.75,83.25,85.25,CHI,79,True,Underdog CHI UNDER 85.25 | Actual: 79 | ✓ STAYS BELOW,80.89999999999999,88.09,83.33,12.1,2026-08-02T12:07:45.297960
MIN vs PHX,MISS,Rule 3 — Over Execution,OVER,168.5,6.0,168.65,-6.19,81.25,78.55,PHX,65,False,Underdog PHX OVER 78.55 | Actual: 65 | ✗ FAILS,80.8,87.42,81.23,8.1,2026-08-02T12:07:45.297969
SEA vs IND,MISS,Rule 3 — Over Execution,OVER,170.5,2.5,170.68,2.45,84.0,82.88,SEA,79,False,Underdog SEA OVER 82.88 | Actual: 79 | ✗ FAILS,80.60000000000001,84.11,86.57,20.9,2026-08-02T12:07:45.297979
SEA vs LV,HIT,Rule 4 — Under Execution,UNDER,174.0,7.5,173.77,7.25,83.25,86.25,SEA,81,True,Underdog SEA UNDER 86.25 | Actual: 81 | ✓ STAYS BELOW,80.89999999999999,83.26,90.51,5.9,2026-08-02T12:07:45.297989
SEA vs WSH,MISS,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,WSH,77,False,Underdog WSH OVER 77.75 | Actual: 77 | ✗ FAILS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.297997
CHI vs GS,MISS,Rule 4 — Under Execution,UNDER,166.0,9.5,165.91,9.57,78.25,82.05,CHI,88,False,Underdog CHI UNDER 82.05 | Actual: 88 | ✗ EXCEEDS,79.10000000000001,78.17,87.74,2.8,2026-08-02T12:07:45.298006
IND vs DAL,MISS,Rule 4 — Under Execution,UNDER,176.5,8.0,176.3,-8.0,84.25,87.45,DAL,94,False,Underdog DAL UNDER 87.45 | Actual: 94 | ✗ EXCEEDS,83.19999999999997,92.15,84.15,4.7,2026-08-02T12:07:45.298015
MIN vs IND,HIT,Rule 3 — Over Execution,OVER,169.0,2.5,169.1,-2.62,83.25,82.12,IND,90,True,Underdog IND OVER 82.12 | Actual: 90 | ✓ CLEARS,80.3,85.86,83.24,20.2,2026-08-02T12:07:45.298024
NY vs DAL,HIT,Rule 3 — Over Execution,OVER,175.0,14.0,175.09,-13.99,80.5,74.2,DAL,89,True,Underdog DAL OVER 74.20 | Actual: 89 | ✓ CLEARS,82.8,94.54,80.55,0.6,2026-08-02T12:07:45.298033
PHX vs LV,HIT,Rule 4 — Under Execution,UNDER,179.0,11.5,178.94,11.25,83.75,88.35,PHX,84,True,Underdog PHX UNDER 88.35 | Actual: 84 | ✓ STAYS BELOW,83.19999999999997,83.84,95.09,1.6,2026-08-02T12:07:45.298042
POR vs IND,SYSTEM SKIP,Rule 2 — High-Variance Exemption,,176.5,15.5,,,,,POR,75,,High-variance chaos signature: POR vs IND,,,,,2026-08-02T12:07:45.298047
SEA vs WSH,HIT,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,WSH,89,True,Underdog WSH OVER 77.75 | Actual: 89 | ✓ CLEARS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.298056
WSH vs SEA,MISS,Rule 3 — Over Execution,OVER,165.0,10.0,165.19,9.79,77.5,73.0,WSH,72,False,Underdog WSH OVER 73.00 | Actual: 72 | ✗ FAILS,79.39999999999999,77.7,87.49,2.6,2026-08-02T12:07:45.298065
WSH vs TOR,SYSTEM SKIP,Rule 1 — Upset Clause,,165.0,2.5,,,,,WSH,98,,Underdog Win Prob (20.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298071
DAL vs CON,HIT,Rule 3 — Over Execution,OVER,162.5,10.0,162.55,10.04,76.25,71.75,DAL,79,True,Underdog DAL OVER 71.75 | Actual: 79 | ✓ CLEARS,80.39999999999999,76.25,86.3,2.4,2026-08-02T12:07:45.298082
LA vs IND,HIT,Rule 3 — Over Execution,OVER,171.5,12.5,171.71,12.45,79.5,73.88,LA,74,True,Underdog LA OVER 73.88 | Actual: 74 | ✓ CLEARS,81.8,79.63,92.08,1.1,2026-08-02T12:07:45.298091
PHX vs SEA,MISS,Rule 3 — Over Execution,OVER,170.0,6.0,170.11,6.17,82.0,79.3,PHX,79,False,Underdog PHX OVER 79.30 | Actual: 79 | ✗ FAILS,81.10000000000001,81.97,88.14,8.2,2026-08-02T12:07:45.298102
POR vs TOR,MISS,Rule 4 — Under Execution,UNDER,170.5,7.5,170.37,7.55,81.5,84.5,POR,86,False,Underdog POR UNDER 84.50 | Actual: 86 | ✗ EXCEEDS,82.19999999999997,81.41,88.96,5.4,2026-08-02T12:07:45.298111
SEA vs TOR,HIT,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,TOR,87,True,Underdog TOR OVER 77.75 | Actual: 87 | ✓ CLEARS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.298120
CHI vs CON,MISS,Rule 4 — Under Execution,UNDER,158.0,7.0,157.94,7.11,75.5,78.3,CHI,83,False,Underdog CHI UNDER 78.30 | Actual: 83 | ✗ EXCEEDS,78.10000000000001,75.41,82.52,6.2,2026-08-02T12:07:45.298129
CHI vs IND,HIT,Rule 4 — Under Execution,UNDER,171.5,10.0,171.42,9.75,80.75,84.75,CHI,80,True,Underdog CHI UNDER 84.75 | Actual: 80 | ✓ STAYS BELOW,80.89999999999999,80.83,90.59,2.6,2026-08-02T12:07:45.298138
CON vs PHX,MISS,Rule 3 — Over Execution,OVER,162.0,1.0,162.02,1.18,80.5,80.05,CON,74,False,Underdog CON OVER 80.05 | Actual: 74 | ✗ FAILS,80.10000000000001,80.42,81.6,26.4,2026-08-02T12:07:45.298147
DAL vs PHX,MISS,Rule 4 — Under Execution,UNDER,175.5,9.0,175.46,9.22,83.25,86.85,DAL,87,False,Underdog DAL UNDER 86.85 | Actual: 87 | ✗ EXCEEDS,83.69999999999997,83.12,92.34,3.1,2026-08-02T12:07:45.298156
IND vs NY,HIT,Rule 3 — Over Execution,OVER,174.5,8.5,174.68,8.59,83.0,79.17,IND,81,True,Underdog IND OVER 79.17 | Actual: 81 | ✓ CLEARS,81.99999999999999,83.05,91.64,3.9,2026-08-02T12:07:45.298165
MIN vs NY,SYSTEM SKIP,Rule 1 — Upset Clause,,167.5,3.5,,,,,MIN,83,,Underdog Win Prob (17.5%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298173
MIN vs POR,HIT,Rule 4 — Under Execution,UNDER,170.0,15.0,169.79,-15.07,77.5,83.5,POR,74,True,Underdog POR UNDER 83.50 | Actual: 74 | ✓ STAYS BELOW,81.3,92.43,77.36,0.4,2026-08-02T12:07:45.298186
PHX vs MIN,HIT,Rule 3 — Over Execution,OVER,168.5,11.0,168.65,11.19,78.75,73.8,PHX,78,True,Underdog PHX OVER 73.80 | Actual: 78 | ✓ CLEARS,80.8,78.73,89.92,1.6,2026-08-02T12:07:45.298195
POR vs PHX,MISS,Rule 3 — Over Execution,OVER,175.5,11.5,175.63,11.68,82.0,76.83,POR,76,False,Underdog POR OVER 76.83 | Actual: 76 | ✗ FAILS,83.89999999999999,81.97,93.66,1.4,2026-08-02T12:07:45.298205
TOR vs WSH,SYSTEM SKIP,Rule 1 — Upset Clause,,165.0,2.5,,,,,TOR,73,,Underdog Win Prob (20.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298211
WSH vs LV,HIT,Rule 4 — Under Execution,UNDER,174.0,15.0,173.95,14.93,79.5,85.5,WSH,79,True,Underdog WSH UNDER 85.50 | Actual: 79 | ✓ STAYS BELOW,81.49999999999999,79.51,94.44,0.5,2026-08-02T12:07:45.298219
CON vs POR,HIT,Rule 3 — Over Execution,OVER,162.5,7.5,162.75,-7.32,77.5,74.12,POR,75,True,Underdog POR OVER 74.12 | Actual: 75 | ✓ CLEARS,80.60000000000001,85.03,77.71,5.8,2026-08-02T12:07:45.298228
DAL vs TOR,MISS,Rule 4 — Under Execution,UNDER,170.5,5.0,170.25,5.17,82.75,84.75,DAL,85,False,Underdog DAL UNDER 84.75 | Actual: 85 | ✗ EXCEEDS,81.99999999999999,82.54,87.71,10.8,2026-08-02T12:07:45.298240
IND vs WSH,MISS,Rule 3 — Over Execution,OVER,170.5,5.0,170.65,-4.99,82.75,80.5,WSH,66,False,Underdog WSH OVER 80.50 | Actual: 66 | ✗ FAILS,81.19999999999997,87.82,82.83,11.4,2026-08-02T12:07:45.298250
LV vs WSH,HIT,Rule 4 — Under Execution,UNDER,174.0,10.0,173.95,-9.93,82.0,86.0,WSH,72,True,Underdog WSH UNDER 86.00 | Actual: 72 | ✓ STAYS BELOW,81.49999999999999,91.94,82.01,2.5,2026-08-02T12:07:45.298258
NY vs CON,MISS,Rule 3 — Over Execution,OVER,161.0,5.0,161.18,-5.22,78.0,75.75,CON,74,False,Underdog CON OVER 75.75 | Actual: 74 | ✗ FAILS,79.2,83.2,77.98,10.7,2026-08-02T12:07:45.298267
PHX vs LA,SYSTEM SKIP,Rule 1 — Upset Clause,,171.0,4.0,,,,,LA,78,,Underdog Win Prob (15.6%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298273
TOR vs DAL,SYSTEM SKIP,Rule 1 — Upset Clause,,170.5,0.0,,,,,DAL,82,,Underdog Win Prob (30.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298279
DAL vs LA,MISS,Rule 3 — Over Execution,OVER,171.0,3.0,171.15,2.78,84.0,82.65,DAL,70,False,Underdog DAL OVER 82.65 | Actual: 70 | ✗ FAILS,82.60000000000001,84.19,86.96,19.5,2026-08-02T12:07:45.298288
DAL vs SEA,HIT,Rule 3 — Over Execution,OVER,170.5,12.5,170.75,12.71,79.0,73.38,DAL,74,True,Underdog DAL OVER 73.38 | Actual: 74 | ✓ CLEARS,81.39999999999999,79.02,91.73,1.0,2026-08-02T12:07:45.298299
LV vs NY,HIT,Rule 3 — Over Execution,OVER,177.5,4.0,177.67,3.78,86.75,84.95,LV,88,True,Underdog LV OVER 84.95 | Actual: 88 | ✓ CLEARS,82.3,86.94,90.73,15.5,2026-08-02T12:07:45.298308
NY vs IND,MISS,Rule 3 — Over Execution,OVER,174.5,3.5,174.68,-3.59,85.5,83.92,IND,80,False,Underdog IND OVER 83.92 | Actual: 80 | ✗ FAILS,81.99999999999999,89.14,85.55,16.2,2026-08-02T12:07:45.298318
NY vs MIN,SYSTEM SKIP,Rule 1 — Upset Clause,,167.5,1.5,,,,,NY,85,,Underdog Win Prob (24.0%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298324
SEA vs CON,SYSTEM SKIP,Rule 1 — Upset Clause,,157.5,0.5,,,,,SEA,76,,Underdog Win Prob (29.8%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298329
TOR vs POR,SYSTEM SKIP,Rule 1 — Upset Clause,,170.5,2.5,,,,,POR,90,,Underdog Win Prob (20.5%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298335
ATL vs CHI,SYSTEM SKIP,Rule 1 — Upset Clause,,168.0,2.0,,,,,ATL,75,,Underdog Win Prob (23.8%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.298340
ATL vs SEA,MISS,Rule 4 — Under Execution,UNDER,167.5,9.0,167.37,8.91,79.25,82.85,ATL,83,False,Underdog ATL UNDER 82.85 | Actual: 83 | ✗ EXCEEDS,79.7,79.23,88.14,3.5,2026-08-02T12:07:45.298349
ATL vs TOR,MISS,Rule 3 — Over Execution,OVER,167.0,1.5,167.08,1.51,82.75,82.08,ATL,78,False,Underdog ATL OVER 82.08 | Actual: 78 | ✗ FAILS,80.3,82.78,84.3,24.9,2026-08-02T12:07:45.298358
CHI vs MIN,MISS,Rule 3 — Over Execution,OVER,164.5,14.5,164.58,14.43,75.0,68.47,CHI,68,False,Underdog CHI OVER 68.47 | Actual: 68 | ✗ FAILS,78.8,75.08,89.51,0.5,2026-08-02T12:07:45.298367
CON vs LV,HIT,Rule 3 — Over Execution,OVER,165.5,9.0,165.61,9.24,78.25,74.2,CON,88,True,Underdog CON OVER 74.20 | Actual: 88 | ✓ CLEARS,79.89999999999999,78.18,87.43,3.1,2026-08-02T12:07:45.298376
CON vs TOR,HIT,Rule 3 — Over Execution,OVER,157.0,2.5,157.25,-2.34,77.25,76.12,TOR,77,True,Underdog TOR OVER 76.12 | Actual: 77 | ✓ CLEARS,78.39999999999999,79.79,77.45,21.4,2026-08-02T12:07:45.298384
IND vs WSH,HIT,Rule 3 — Over Execution,OVER,170.5,5.0,170.65,-4.99,82.75,80.5,WSH,84,True,Underdog WSH OVER 80.50 | Actual: 84 | ✓ CLEARS,81.19999999999997,87.82,82.83,11.4,2026-08-02T12:07:45.298393
